PARTNER_1	PARTNER_2	WEIGHT		
Ancistrops_strigilatus	H_17	1		
Automolus_infuscatus_	H_17	39		
Automolus_infuscatus_	P_22	2		
Automolus_infuscatus_	P_36	3		
Automolus_melanopezus	H_17	1		
Automolus_melanopezus	P_22	1		
Automolus_melanopezus	P_36	3		
Automolus_ochrolaemus	H_17	2		
Baryphthengus_martii	H_16U	1		
Baryphthengus_martii	P_24	1		
Campylorhamphus_trochilirostris	H_13	1		
Catharus_ustulatus	H_10	1		
Catharus_ustulatus	P_29	1		
Cercomacra_serva	P_23	1		
Chamaeza_nobilis	P_05L	2		
Corythopis_torquatus	H_13	1		
Cyanocompsa_cyanoides	P_45	1		
Dichrozona_cincta	H_17	1		
Dichrozona_cincta	P_08	1		
Epinecrophylla_erythrura	H_01	1		
Epinecrophylla_erythrura	H_17	1		
Epinecrophylla_fjeldsaai	H_09	1		
Euphonia_xanthogaster	H_09	1		
Euphonia_xanthogaster	P_44	1		
Formicarius_analis	H_17	1		
Formicarius_analis	P_02	7		
Formicarius_analis	P_21U	1		
Formicarius_analis	P_37	1		
Formicarius_colma	H_19U	1		
Formicarius_colma	P_04L	26		
Glyphorynchus_spirurus	H_04U	1		
Glyphorynchus_spirurus	H_10	3		
Glyphorynchus_spirurus	H_13	3		
Glyphorynchus_spirurus	H_17	16		
Glyphorynchus_spirurus	H_18	1		
Glyphorynchus_spirurus	P_23	1		
Glyphorynchus_spirurus	P_25	2		
Glyphorynchus_spirurus	P_28	1		
Glyphorynchus_spirurus	P_41	15		
Gymnopithus_leucaspis_	P_25	1		
Gymnopithus_leucaspis_	P_31U	1		
Gymnopithus_leucaspis_	P_32	3		
Gymnopithus_leucaspis_	P_35	2		
Gymnopithus_leucaspis_	P_37	1		
Habia_rubica	P_43	2		
Henicorhina_leucosticta	H_17	1		
Henicorhina_leucosticta	P_24	1		
Hyloctistes_subulatus	H_13	4		
Hyloctistes_subulatus	H_17	6		
Hylophilus_ochraceiceps	P_17	2		
Hylophilus_ochraceiceps	P_18U	1		
Hylophilus_ochraceiceps	P_24	1		
Hylophilus_ochraceiceps	P_40	1		
Hylophylax_naevius	H_17	1		
Hylophylax_naevius	P_12	2		
Hylophylax_naevius	P_14	1		
Hylophylax_naevius	P_25	1		
Hylophylax_naevius	P_28	2		
Hylophylax_naevius	P_32	2		
Hylophylax_naevius	P_33	1		
Hylophylax_naevius	P_38	1		
Hypocnemis_cantator	H_10	1		
Hypocnemis_cantator	P_25	1		
Hypocnemis_hypoxantha	P_07	1		
Lepidothrix_coronata	H_09	3		
Lepidothrix_coronata	H_10	2		
Lepidothrix_coronata	H_17	1		
Lepidothrix_coronata	P_16	2		
Lepidothrix_coronata	P_20	7		
Lepidothrix_coronata	P_24	3		
Lepidothrix_coronata	P_30	1		
Liosceles_thoracicus	P_25	1		
Machaeropterus_regulus	H_09	1		
Microcerculus_marginatus	H_17	1		
Microcerculus_marginatus	P_25	1		
Mionectes_oleagineus	H_09	1		
Mionectes_oleagineus	H_13	1		
Mionectes_oleagineus	P_24	1		
Myiobius_barbatus	P_09	7		
Myrmeciza_fortis	P_08	2		
Myrmeciza_fortis	P_25	2		
Myrmeciza_fortis	P_27	3		
Myrmoborus_myotherinus	H_05U	1		
Myrmoborus_myotherinus	H_17	2		
Myrmoborus_myotherinus	P_08	2		
Myrmoborus_myotherinus	P_15U	1		
Myrmoborus_myotherinus	P_25	2		
Myrmoborus_myotherinus	P_26	2		
Myrmoborus_myotherinus	P_39	2		
Myrmothera_campanisona	P_23	1		
Myrmothera_campanisona	P_36	1		
Myrmotherula_axillaris	H_08	1		
Myrmotherula_axillaris	H_10	1		
Myrmotherula_axillaris	P_10	2		
Myrmotherula_axillaris	P_25	1		
Myrmotherula_axillaris	P_33	3		
Myrmotherula_hauxwelli	H_17	1		
Myrmotherula_hauxwelli	P_08	3		
Myrmotherula_hauxwelli	P_24	1		
Myrmotherula_hauxwelli	P_25	1		
Myrmotherula_hauxwelli	P_32	3		
Myrmotherula_longipennis	P_14	1		
Myrmotherula_longipennis	P_24	1		
Myrmotherula_longipennis	P_41	1		
Phaeothlypis_fulvicauda	H_09	1		
Phaeothlypis_fulvicauda	H_17	1		
Philydor_erythrocercum	H_08	1		
Philydor_erythrocercum	H_13	5		
Philydor_erythrocercum	H_14	1		
Philydor_erythrocercum	H_17	3		
Philydor_erythropterum	H_13	2		
Philydor_erythropterum	H_14	1		
Philydor_erythropterum	H_17	1		
Philydor_pyrrhodes	H_17	2		
Philydor_pyrrhodes	P_19U	1		
Phlegopsis_erythroptera	H_01	1		
Phlegopsis_erythroptera	H_10	1		
Phlegopsis_erythroptera	P_08	1		
Phlegopsis_erythroptera	P_13U	1		
Phlegopsis_erythroptera	P_25	1		
Phlegopsis_erythroptera	P_32	1		
Pipra_erythrocephala	H_09	1		
Pipra_erythrocephala	H_12	2		
Pipra_erythrocephala	P_24	1		
Pipra_filicauda	H_02U	1		
Pipra_filicauda	H_12	1		
Pipra_filicauda	P_20	1		
Pipra_filicauda	P_30	1		
Pipra_pipra	H_12	1		
Pipra_pipra	P_20	1		
Pipra_pipra	P_24	1		
Pithys_albifrons	H_10	1		
Pithys_albifrons	H_11	1		
Pithys_albifrons	P_23	1		
Pithys_albifrons	P_24	1		
Rhegmatorhina_melanosticta	P_35	3		
Schistocichla_leucostigma	H_08	1		
Schistocichla_leucostigma	P_11U	1		
Schistocichla_leucostigma	P_14	1		
Schistocichla_leucostigma	P_25	1		
Schistocichla_leucostigma	P_39	1		
Sclerurus_caudacutus	H_09	1		
Sclerurus_caudacutus	P_41	3		
Tachyphonus_cristatus	H_03U	1		
Tachyphonus_cristatus	P_20	1		
Tangara_schrankii	P_44	1		
Thamnomanes_ardesiacus	P_12	2		
Thamnomanes_ardesiacus	P_23	1		
Thamnomanes_ardesiacus	P_24	2		
Thamnomanes_ardesiacus	P_25	6		
Thamnomanes_ardesiacus	P_32	1		
Thamnomanes_caesius	H_17	4		
Thamnomanes_caesius	P_23	1		
Thamnomanes_caesius	P_24	1		
Thamnomanes_caesius	P_25	3		
Thamnophilus_murinus	H_01	1		
Thamnophilus_murinus	P_24	1		
Thamnophilus_schistaceus	H_17	1		
Thamnophilus_schistaceus	P_25	1		
Thamnophilus_schistaceus	P_42	1		
Turdus_albicollis	H_06U	1		
Turdus_albicollis	H_09	1		
Turdus_lawrencii	P_01	1		
Willisornis_poecilinota	H_09	1		
Willisornis_poecilinota	H_17	2		
Willisornis_poecilinota	H_20U	1		
Willisornis_poecilinota	P_24	1		
Willisornis_poecilinota	P_28	1		
Willisornis_poecilinota	P_29	8		
Willisornis_poecilinota	P_34	3		
Willisornis_poecilinota	P_45	1		
Xenops_minutus	H_07U	1		
Xenops_minutus	P_23	1		
Xiphorhynchus_guttatus	H_13	1		
Xiphorhynchus_ocellatus	H_15U	1		
Xiphorhynchus_ocellatus	P_41	2		
Xiphorhynchus_spixii	P_34	1		
Xiphorhynchus_spixii	P_40	1		
Xiphorhynchus_spixii	P_41	2		
